menu,weather,corr,month
drinks_alcohol,feel_temp,0.1956062404162542,4
product_sales,feel_temp,0.0642770252967691,4
kalguksu,feel_temp,,4
takeaway,feel_temp,0.13432856126171605,4
total,avgTa,0.42914941471587814,5
hot_milmyeon,avgTa,,5
milmyeon_with_mandu,avgTa,0.41265125633347793,5
milmyeon_only,avgTa,0.059438144457377065,5
delivery,avgTa,0.011486671043442732,5
side_menu,avgTa,0.0572366704587541,5
drinks_alcohol,avgTa,-0.008419645546569387,5
product_sales,avgTa,0.07183958917753851,5
kalguksu,avgTa,,5
takeaway,avgTa,0.046381999785874775,5
total,avgWs,-0.02480053891541058,5
hot_milmyeon,avgWs,,5
milmyeon_with_mandu,avgWs,-0.0015212158235483472,5
milmyeon_only,avgWs,-0.050244366280432926,5
delivery,avgWs,0.01274228670094574,5
side_menu,avgWs,0.03390727813623534,5
drinks_alcohol,avgWs,0.02119100895453626,5
product_sales,avgWs,0.02590274149017707,5
kalguksu,avgWs,,5
takeaway,avgWs,0.0321499663788996,5
total,maxTa,0.5534277159402152,5
hot_milmyeon,maxTa,,5
milmyeon_with_mandu,maxTa,0.5057702035964797,5
milmyeon_only,maxTa,0.1205425368893409,5
delivery,maxTa,0.06478117420033884,5
side_menu,maxTa,0.11723663311610269,5
drinks_alcohol,maxTa,0.015461791593958997,5
product_sales,maxTa,0.042639543164310435,5
kalguksu,maxTa,,5
takeaway,maxTa,-0.08074309183503646,5
total,minTa,0.17382530698399626,5
hot_milmyeon,minTa,,5
milmyeon_with_mandu,minTa,0.21794119842258647,5
milmyeon_only,minTa,-0.04864169525879502,5
delivery,minTa,0.0067135626984317,5
side_menu,minTa,-0.050022734090168275,5
drinks_alcohol,minTa,-0.06925123163990196,5
product_sales,minTa,0.06852283653552023,5
kalguksu,minTa,,5
takeaway,minTa,0.12458733745898933,5
total,avgRhm,-0.3393118927187869,5
hot_milmyeon,avgRhm,,5
milmyeon_with_mandu,avgRhm,-0.3911793838752551,5
milmyeon_only,avgRhm,0.017336385275797908,5
delivery,avgRhm,0.00534138580109358,5
side_menu,avgRhm,0.001955606886164969,5
drinks_alcohol,avgRhm,0.04133583261733876,5
product_sales,avgRhm,0.051709756876695295,5
kalguksu,avgRhm,,5
takeaway,avgRhm,0.23729963964812661,5
total,avgTs,0.43889252557485536,5
hot_milmyeon,avgTs,,5
milmyeon_with_mandu,avgTs,0.5614808664356841,5
milmyeon_only,avgTs,-0.1077093858176625,5
delivery,avgTs,0.06300150599702581,5
